ID,실거래명,동,실거래준공,현재매핑,K-apt준공,년도차이,네이버명,네이버준공,일치여부
11921,"대풍푸른들","원종동",2008,"대풍푸른들",,2008,"",,X
11984,"서광아침의빛","박달동",2007,"서광아침의빛",,2007,"",,X
12085,"신일해피트리","관양동",2007,"신일해피트리",,2007,"",,X
12556,"동일파크스위트","삼성동",2007,"동일파크스위트",,2007,"",,X
11242,"우리빌","수진동",2005,"우리빌주상복합",,2005,"",,X
12092,"한울네세창","망우동",2005,"한울네세창",,2005,"",,X
12225,"짜임","박달동",2005,"세창짜임",,2005,"",,X
12234,"대안탐스빌산마루","안양동",2005,"대안탐스빌산마루",,2005,"",,X
12530,"우장산휴먼빌","화곡동",2005,"우장산휴먼빌",,2005,"",,X
11803,"침산메트로","침산동",2003,"침산메트로",,2003,"",,X
11551,"수산오성","내발산동",2002,"수산오성",,2002,"",,X
12387,"부미아띠랑스힐","봉천동",2002,"부미아띠랑스힐",,2002,"",,X
11432,"대치효성","대치동",1999,"대치효성",,1999,"",,X
12229,"일신강변","면목동",1999,"일신강변",,1999,"",,X
11532,"동보","오류동",1998,"동보",,1998,"",,X
11700,"갑을","봉천동",1998,"봉천갑을",,1998,"",,X
12249,"극동옥정","옥수동",1998,"극동옥정",,1998,"",,X
10835,"한울2","율량동",1996,"한울2차",,1996,"",,X
11238,"성원","둔촌동",1995,"둔촌성원",,1995,"",,X
11887,"명일진로","명일동",1994,"명일진로",,1994,"",,X
12346,"경남무지개","함양읍 용평리",1994,"경남무지개",,1994,"",,X
11654,"경원","신내동",1989,"경원",,1989,"",,X
12629,"동대구","신암동",1979,"동대구역 센텀 화성파크드림",2025,46,"",,X
6769,"남산","남산동",1977,"남산자이하늘채",2022,45,"",,X
12468,"용인","김량장동",1979,"용인드마크데시앙",2024,45,"",,X
12866,"남산","남산동",1977,"남산자이하늘채",2022,45,"",,X
11219,"동원","당감동",1980,"서면 비스타동원",2024,44,"",,X
11914,"서면","전포동",1976,"서면아이파크아파트",2020,44,"",,X
12489,"상무","쌍촌동",1981,"상무센트럴자이",2025,44,"",,X
12499,"월산","월산동",1981,"힐스테이트 월산아파트",2024,43,"",,X
12837,"백양","부암동",1982,"백양산서희스타힐스",2025,43,"",,X
13060,"초읍","초읍동",1977,"포레나부산초읍",2020,43,"",,X
12027,"옥수","옥수동",1975,"옥수파크힐스아파트",2016,41,"",,X
11195,"무진","우산동",1982,"무진로진아리채리버뷰",2022,40,"",,X
12056,"산호","산호동",1978,"산호경동리인",2018,40,"",,X
12120,"동원","연산동",1979,"시청역 비스타동원아파트",2019,40,"",,X
12157,"더샵둔촌포레","둔촌동",1984,"더샵둔촌포레",2024,40,"",,X
12657,"정동","정동",1965,"청석마을 운정동문디이스트",2005,40,"",,X
12333,"효성","범어동",1979,"범어효성해링턴플레이스",2018,39,"",,X
12491,"효창","효창동",1972,"효창파크푸르지오",2010,38,"",,X
11220,"동원","부곡동",1981,"온천장역동원로얄듀크아파트",2018,37,"",,X
12089,"양지","양지면 양지리",1987,"용인 양지동문디이스트 아파트",2023,36,"",,X
11662,"양산","북부동",1984,"양산 지안스로가아파트",2019,35,"",,X
12345,"강변","입암동",1984,"강변코아루오투리움",2019,35,"",,X
12613,"충정","충정로3가",1969,"충정리시온",2004,35,"",,X
12289,"삼일","우암동",1982,"우암 삼일 브리제하임 아파트",2016,34,"",,X
10914,"양수","호계동",1984,"호계2차한양수자인",2017,33,"",,X
11764,"평택","비전동",1979,"평택소사벌휴먼시아1단지",2012,33,"",,X
12186,"동아","양덕동",1984,"마산 양덕 동아위드필하임",2017,33,"",,X
12261,"봉황","봉황동",1984,"e편한세상 봉황역아파트",2017,33,"",,X
5530,"김포","사우동",1986,"김포 사우 아이파크",2018,32,"",,X
11531,"인왕","홍제동",1968,"홍제인왕산현대",2000,32,"",,X
11951,"태화","신정동",1979,"태화강엑슬루타워",2011,32,"",,X
12008,"성북","성북동",1971,"성북동아에코빌",2003,32,"",,X
12309,"경화","경화동",1985,"경화동 두산위브아파트",2017,32,"",,X
12495,"망미","망미동",1975,"망미동the#파크리치",2007,32,"",,X
5199,"한신","괴정동",1991,"사하한신더휴아파트",2022,31,"",,X
11793,"삼성","삼성동",1977,"삼성힐스테이트1단지",2008,31,"",,X
12322,"신목","목동",1992,"신목동파라곤아파트",2023,31,"",,X
12585,"중흥","중흥동",1984,"중흥영무예다음아파트",2015,31,"",,X
10221,"충무","권곡동",1979,"아산충무서해그랑블2차",2009,30,"",,X
11447,"옥계","옥계동",1979,"옥계현진에버빌엠파이어",2009,30,"",,X
12492,"한양","금암동",1985,"계룡한양아이클래스",2015,30,"",,X
10507,"모아","신안동",1991,"신안동 모아엘가 더스카이",2020,29,"",,X
12868,"대성","대성동",1986,"목포 대성 LH천년나무 아파트",2015,29,"",,X
8919,"동원","가야동",1985,"가야동원로얄듀크",2013,28,"",,X
12012,"동남","연동",1991,"제주연동남해오네뜨",2019,28,"",,X
12047,"장림","장림동",1978,"장림동원로얄듀크",2005,27,"",,X
12338,"원곡","원곡면 외가천리",1991,"안성원곡제일오투그란데",2018,27,"",,X
6616,"남양","호평동",1984,"남양주호평6단지",2010,26,"",,X
11666,"보라","월산동",1996,"반도 유보라 더 퍼스트 아파트",2022,26,"",,X
11742,"자양","자양동",1981,"자양더샵스타시티",2007,26,"",,X
12172,"올림픽","내동",1990,"올림픽파크한양수자인",2016,26,"",,X
12650,"연지","연지동",1985,"연지자이2차",2011,26,"",,X
11253,"관악","신림동",1983,"관악산휴먼시아",2008,25,"",,X
11865,"율전","율전동",1980,"율전밤꽃마을뜨란채",2005,25,"",,X
12416,"보성","보성읍 보성리",1991,"보성센트럴뷰아파트",2016,25,"",,X
9550,"주공1","부곡동",1980,"장유월산주공14단지",2004,24,"",,X
11373,"문현","문현동",1977,"문현동삼성아파트",2001,24,"",,X
12736,"구성","언남동",1999,"힐스테이트 구성 아파트",2023,24,"",,X
5435,"대원","증포동",1996,"이천증포 대원칸타빌아파트",2019,23,"",,X
11211,"삼한","금사동",1992,"금사삼한사랑채",2015,23,"",,X
12009,"송현","송현동",1980,"송현솔빛마을주공1차아파트",2003,23,"",,X
12293,"용산","용산동",1981,"용산롯데캐슬그랜드",2004,23,"",,X
12517,"부곡","부곡동",1976,"부곡대우아파트",1999,23,"",,X
12548,"괴산","괴산읍 동부리",1985,"괴산동부",2008,23,"",,X
7829,"신동아","방배동",1981,"신동아럭스빌아파트",2003,22,"",,X
8518,"수안","수안동",1976,"수안동조성하이츠아파트",1998,22,"",,X
11421,"호계마젤란21","호계동",2006,"호계마젤란21",1984,22,"",,X
11506,"반도","온천동",1984,"온천동반도보라스카이뷰",2006,22,"",,X
12288,"부영","덕천동",1983,"부영벽산파라빌",2005,22,"",,X
12662,"삼성","봉천동",1974,"보라매삼성",1996,22,"",,X
12792,"숭의","숭의동",2003,"힐스테이트 숭의역",2025,22,"",,X
12475,"대신","중동",1984,"해운대신시가지경동메르빌아파트",2005,21,"",,X
12753,"비산","비산동",1982,"비산삼성래미안아파트",2003,21,"",,X
7006,"밀양삼문","삼문동",1989,"밀양삼문휴먼시아",2009,20,"",,X
9782,"청천","청천동",1978,"청천푸르지오아파트",1998,20,"",,X
10844,"석수","석수동",1982,"석수e편한세상",2002,20,"",,X
3050,"한신","구로동",1988,"구로한신휴플러스",2007,19,"",,X
7784,"경동","연산동",1994,"연산경동메르빌",2013,19,"",,X
10784,"교동","교동",1980,"교동1주공아파트",1999,19,"",,X
11554,"벽산","목동",1991,"벽산우남연리지",2010,19,"",,X
11774,"방주기픈샘","신월동",2004,"방주기픈샘1차아파트",2023,19,"",,X
12801,"신안","산정동",1984,"신안비치팔레스1차아파트입주자대표회의",2003,19,"",,X
2427,"기안파인골드빌2차","팔봉동",2023,"기안파인골드빌2차",2005,18,"",,X
9391,"배산제일","모현동1가",1994,"배산제일풍경채에듀파크아파트",2012,18,"",,X
9623,"삼익","안양동",1978,"호계삼익",1996,18,"",,X
9746,"우림필유","마동",1994,"광양중마우림필유아파트",2012,18,"",,X
11852,"주공","주문진읍 교항리",1982,"교항2주공아파트",2000,18,"",,X
12082,"도원","도원동",1983,"도원삼성래미안",2001,18,"",,X
12303,"성원","화서동",1983,"화서성원상떼빌",2001,18,"",,X
12683,"도원","도원동",1983,"도원삼성래미안",2001,18,"",,X
6151,"현대","주안동",1985,"주안 현대홈타운 아파트",2002,17,"",,X
9628,"대원","하대원동",1986,"하대원아튼빌",2003,17,"",,X
10656,"쌍용","사직동",1989,"사직쌍용예가",2006,17,"",,X
12130,"해피트리","언남동",2018,"구성신일해피트리",2001,17,"",,X
12549,"구덕","서대신동3가",1979,"구덕자유아파트",1996,17,"",,X
785,"신동아","길동",1983,"길동신동아아파트",1999,16,"",,X
9633,"태영","대천동",1993,"월배태영데시앙",2009,16,"",,X
9694,"일신","호계동",1984,"일신건영장미",2000,16,"",,X
10481,"하남","신장동",1991,"하남대명강변타운",2007,16,"",,X
10993,"쌍촌","쌍촌동",1975,"쌍촌주공임대",1991,16,"",,X
11689,"대림","문현동",1983,"대림문현시티프라자",1999,16,"",,X
12057,"금광","금광동",1990,"래미안금광",2006,16,"",,X
12125,"태화","태화동",1979,"태화우성아파트",1995,16,"",,X
12147,"진흥","홍은동",2002,"진흥",2018,16,"",,X
12185,"대화","대화동",1979,"대화성저마을1단지동익",1995,16,"",,X
12559,"삼창","하단동",1985,"하단삼창",2001,16,"",,X
12561,"북정","북정동",1979,"북정동원",1995,16,"",,X
12587,"진흥","덕천동",1983,"신정마을진흥아파트",1999,16,"",,X
12790,"센트럴","상계동",2005,"노원 센트럴푸르지오",2021,16,"",,X
12823,"용마","면목동",2006,"용마한신",1990,16,"",,X
2516,"롯데","우동",1993,"동탄예당마을롯데캐슬",2008,15,"",,X
11994,"효성","정자동",1985,"정자백설마을효성",2000,15,"",,X
12321,"영동","삼동",2002,"영동경동리인",2017,15,"",,X
12813,"서변","서변동",1990,"동서변월드메르디앙",2005,15,"",,X
3946,"중앙하이츠","구로동",1987,"구로중앙하이츠아파트",2001,14,"",,X
7520,"동신","가양동",1979,"가양동신대아",1993,14,"",,X
10304,"동아","작전동",1983,"도두리마을 대동아파트",1997,14,"",,X
11569,"보성","비산동",1983,"강변보성타운",1997,14,"",,X
11925,"오치","오치동",1978,"광주오치1",1992,14,"",,X
12043,"금락","하양읍 금락리",1983,"하양금락우방타운",1997,14,"",,X
12222,"대동레미안","범천동",2005,"대동레미안센트럴시티5",2019,14,"",,X
3246,"상계대림","상계동",1989,"상계대림e-편한세상",2002,13,"",,X
7395,"신성","내동",1979,"수내푸른마을신성벽산쌍용",1992,13,"",,X
11578,"두암","두암동",1979,"광주두암2",1992,13,"",,X
12331,"현대","복대동",1986,"하복대현대2차아파트",1999,13,"",,X
12395,"동아","중동",1980,"중동중흥마을신동아영남",1993,13,"",,X
12572,"경남","호계동",1981,"무궁화경남",1994,13,"",,X
12901,"문화","문화동",1981,"대전문화1",1994,13,"",,X
12911,"양평","양평동2가",2003,"양평벽산",1990,13,"",,X
1739,"대전목동더샵","목동",2010,"대전목동더샵리슈빌",2022,12,"",,X
6304,"대곡청구","대곡동",1992,"대곡청구제네스",2004,12,"",,X
10776,"동아","석남동",1984,"석남 신동아 아파트",1996,12,"",,X
12284,"주례","주례동",1975,"주례럭키아파트",1987,12,"",,X
12312,"한일","미아동",1990,"한일유앤아이",2002,12,"",,X
12422,"동아","대명동",1980,"동아대덕아파트",1992,12,"",,X
12487,"삼성","신림동",2012,"삼성산주공3단지",2000,12,"",,X
12643,"미진","옥포동",1994,"미진타워팰리스",2006,12,"",,X
12903,"대신","대신동",2003,"대신센트럴자이",2015,12,"",,X
168,"주공","소사본동",2006,"소사주공",1995,11,"",,X
11065,"은행대우","은행동",1987,"은행대우3차2단지",1998,11,"",,X
12362,"태안","태안읍 동문리",1989,"태안동문주공1단지",2000,11,"",,X
12565,"대성","구로동",1995,"구로대성스카이렉스",2006,11,"",,X
12667,"초원","안양동",2003,"초원부영",1992,11,"",,X
6859,"주공2","가좌동",1983,"진주가좌주공2아파트",1993,10,"",,X
7157,"현대아파트","서초동",1989,"서초현대아파트",1999,10,"",,X
8351,"낙성대현대아파트","봉천동",1988,"낙성대현대아파트",1998,10,"",,X
9010,"쌍용","월계동",1996,"월계초안산쌍용",2006,10,"",,X
11060,"화신","괴정동",1980,"신괴정화신맨션아파트",1990,10,"",,X
11250,"예뜰채","가정동",2007,"예뜰채",2017,10,"",,X
11818,"동아","둔촌동",1992,"둔촌신동아",2002,10,"",,X
12252,"남산그린","남산동",1995,"남산그린타운",2005,10,"",,X
12423,"한라","신정동",1983,"한라백조",1993,10,"",,X
12474,"수명","신월동",1998,"수명산롯데캐슬",2008,10,"",,X
12590,"양재","양재동",2001,"양재우성",1991,10,"",,X
12623,"리채","용두동",2010,"첨단진아리채아파트",2020,10,"",,X
2116,"대우","좌동",1996,"가좌대우푸르지오",2005,9,"",,X
6226,"주공3","교동",1993,"교동주공3단지아파트",2002,9,"",,X
7348,"반여현대","반여동",1995,"반여현대그린아파트",1986,9,"",,X
8230,"광명","연제동",1989,"연제동 광명2차아파트",1998,9,"",,X
8464,"세원","복대동",1990,"세원느티마을아파트",1999,9,"",,X
9516,"용두","용두동",1985,"용두신동아",1994,9,"",,X
10342,"장백","대연동",2005,"장백장미타워아파트",1996,9,"",,X
10758,"신라","안양동",1983,"한가람신라",1992,9,"",,X
10793,"석미모닝파크","광혜원면 광혜원리",2008,"광혜원 석미모닝파크2차",2017,9,"",,X
12072,"서울","내동",2004,"뉴서울송내동",1995,9,"",,X
12355,"무지개","명장동",1984,"영산무지개타운",1993,9,"",,X
12415,"전원","마동",1994,"전원맨션관리사무소",1985,9,"",,X
12436,"동아","통복동",1985,"동아국화",1994,9,"",,X
12799,"보람","신월동",1996,"신월2차보람쉬움",2005,9,"",,X
4515,"우성","목동",1992,"목동2차우성",2000,8,"",,X
5719,"양지","오남읍 양지리",2001,"오남양지e편한세상1단지",2009,8,"",,X
5845,"목련","내동",1979,"칠곡목련타운",1987,8,"",,X
9219,"삼일","복대동",1990,"하복대삼일아파트",1998,8,"",,X
9345,"장전현대","장전동",2006,"장전현대2차아파트",1998,8,"",,X
10660,"호반","교동",1995,"여주호반리젠시빌",2003,8,"",,X
10927,"현광","주안동",1987,"주안 현광 아파트",1995,8,"",,X
11210,"삼전","하대동",1988,"삼전프라자",1996,8,"",,X
11227,"현대","휘경동",1992,"휘경베스트빌현대",2000,8,"",,X
11772,"현대","비전동",1985,"현대이화",1993,8,"",,X
11986,"현대2","용흥동",1988,"용흥현대2차아파트",1996,8,"",,X
12493,"함양","함양읍 교산리",1989,"함양한주",1997,8,"",,X
12828,"현대","대방동",2004,"신대방현대",1996,8,"",,X
12829,"현대","개포동",1994,"개포2차 현대아파트",1986,8,"",,X
1964,"삼성","상동",1995,"상동다정한마을삼성래미안",2002,7,"",,X
2605,"효자롯데","효자동1가",1990,"효자롯데2차아파트",1997,7,"",,X
4469,"일성","쌍용동",1992,"월봉일성",1999,7,"",,X
5623,"부영","성환읍 매주리",2005,"성환1차부영아파트",1998,7,"",,X
8486,"이너스내안에","염창동",2011,"이너스내안에",2004,7,"",,X
11043,"장미","신천동",1986,"신천장미1차2차",1979,7,"",,X
11058,"한울","율량동",1991,"한울(1144)",1998,7,"",,X
11228,"현대","문정동",1991,"가락1차현대아파트",1984,7,"",,X
11501,"삼성아파트","사당동",2006,"사당삼성아파트",1999,7,"",,X
12104,"대명","조양동",1989,"대명4차아파트",1996,7,"",,X
12412,"우림","인창동",2001,"인창공원 우림필유아파트",2008,7,"",,X
12596,"향교","교동",1980,"남원 향교",1987,7,"",,X
2628,"양덕삼구트리니엔","양덕동",2011,"양덕삼구트리니엔4차",2017,6,"",,X
3147,"봉동광신프로그레스","봉동읍 낙평리",2015,"봉동광신프로그레스2단지",2021,6,"",,X
4397,"신일","삼천동1가",1991,"삼천동 신일강변",1997,6,"",,X
5932,"송현2","송현동",1984,"송현2주공아파트",1990,6,"",,X
6435,"유승","효성동",1996,"효성동2차유승아파트",2002,6,"",,X
6450,"주공","하소동",1989,"하소주공2단지아파트",1995,6,"",,X
6760,"우미","화정동",1990,"화정우미",1996,6,"",,X
8409,"금호윤성모닝타운","금호읍 원제리",2018,"금호윤성모닝타운",2012,6,"",,X
